Unnamed: 0,title,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
0,The Elder Scrolls V Skyrim,2380514,english,KAUFEN!,1321717041,1321717041,TRUE,0,0,0,1,TRUE,FALSE,FALSE,7.66E+16,610,13,3162,0,2466,1551687935
1,The Elder Scrolls V Skyrim,591051,english,What? you dont already own this game? WTF are you doing?!?!?,1321716810,1321716810,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,1497,3,33966,0,33244,1478914691
2,The Elder Scrolls V Skyrim,772405,english,"This game isn't as vast and expansive as Oblivion, but people must understand that with today's technology, it would take a signifigantly larger amount of time and resources to recreate something that big with a new engine.

That being said, the enviornment is still extremley varied, and assuming you don't fast travel all the time, it's still a huge map. The enemies are varied, combat feels satisfying when you beat someone, and many new or improved features exist because of the developer's lessons learned from Oblivion, and Fallout 3/NV. This game will feel familar, yet different.

In some time the Development tools will be released for PC, and the game can only get better.

Highly reccomended it to anyone who can pull themselves away from the cliches of BF3 or MW3.",1321716732,1321716732,TRUE,0,0,0.492110252,0,TRUE,FALSE,FALSE,7.66E+16,460,155,63464,0,36694,1596311884
3,The Elder Scrolls V Skyrim,4431054,english,YUUUUUUUUUUUUUUUS,1321716448,1321716448,TRUE,0,0,0,1,TRUE,FALSE,FALSE,7.66E+16,180,5,14271,0,10299,1395465604
4,The Elder Scrolls V Skyrim,4391953,english,Best RPG 2011,1321708443,1321708443,TRUE,0,0,0,1,TRUE,FALSE,FALSE,7.66E+16,315,1,26385,0,17362,1550335000
5,The Elder Scrolls V Skyrim,2710088,english,Do I really need to explain why you should have this game?,1321701977,1321701977,TRUE,0,0,0,2,TRUE,FALSE,FALSE,7.66E+16,415,20,20464,0,11373,1562650351
6,The Elder Scrolls V Skyrim,347231,english,"Fantastic open world adventure - so much to do, so little time in RL to do it!",1321701162,1321701162,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,596,8,48205,0,12592,1568925817
7,The Elder Scrolls V Skyrim,1890256,english,"Grab your closest country-sized skillet. Take the low fantasy setting of Oblivion, mix with the near perfection that was Fallout 3. Add a huge wallop of great story and intriguing side-quests. Sprinkle with dragons. Pop into the oven for five years. Perfection. (Best served cold.)

Kotaku describes the Skyrim Sandbox Melange as follows: ""You can return to the [main quest] at any time, but there's a whole wide world to be explored, and what the hell, it's not like [the Big Bad] set a date for the destruction of everything; overwhelming evil's flexible work schedule is one of my favorite aspects of the series. Unhampered by a ticking doomsday clock, the player is free to reconnoiter the beauteous countryside of Skyrim to their heart's content.""

And what a (dragon-filled) beuateous countryside it is! Buy it! play it! Live it!",1321698717,1321698717,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,274,4,8783,0,3918,1392411496
8,The Elder Scrolls V Skyrim,2077049,english,"Even a week out from release, this game has more 'wow' factor to it than anything I've played in years.  Totally worth every penny, and will only improve with patches...",1321696088,1321696088,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,154,6,18332,0,17053,1526103454
9,The Elder Scrolls V Skyrim,1280369,english,"Ok wow.. so like 8 days into this game....? 50 hours of play time, Its sooo freaking addictting GOD DAMN.. If WoW could be this fun.. MY ONE fret about this game atm.. random crashes... Be sure to quick save ALOT! :3",1321690647,1321690647,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,141,10,19079,0,9875,1573935186
10,The Elder Scrolls V Skyrim,188580,english,"Sell your soul to the devil
",1321690430,1321690430,TRUE,1,0,0,0,TRUE,FALSE,FALSE,7.66E+16,41,2,5446,0,5218,1468216959
11,The Elder Scrolls V Skyrim,815582,english,"Just get it, its great.",1321678285,1321678285,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,325,15,22247,0,19644,1551723670
12,The Elder Scrolls V Skyrim,2591947,english,Best viking sim available!,1321678007,1321678007,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,212,3,5160,0,4358,1581374686
