,title,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
0,NBA2K21,77058049,english,"
You cant even shoot open shots in the game at a consistent rate with some of the best shooters. It is almost unplayable.",1601866572,1601866572,FALSE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,7,2,761,495,761,1601865841
1,NBA2K21,77053479,english,"I like turtles
",1601857966,1601857966,TRUE,1,0,0.5,0,TRUE,FALSE,FALSE,7.65612E+16,1,1,1220,285,1068,1601869735
2,NBA2K21,76358565,english,"Only half decent basketball game. That being said... 2K is a failure of a studio, and this entire franchise is an utter train wreck of lies and extortion.",1600738632,1601853828,FALSE,1,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,109,19,4758,3880,4758,1601853553
3,NBA2K21,77043880,english,"the worst 2k i have  played in years. i'm mycareer type of player. mycareer this year is trash(story ends after getting drafted). the game shows no stats during the course of the season(eg leader is assist or points etc). the double team is toxic and keeps getting worse(eg. you can have 10 assists and 0pts and still be double teamed like crazy) i mean is this how basketball is played in real life? 2k gave us a trash game because of next gen. wh y pc won't get next gen for 2k21 is what i don't know.
the shotmeter is the worst. no one complained about it yet they messed it all up. for me 2k21 is 0/10.",1601841536,1601841536,FALSE,2,0,0.523809552,0,TRUE,FALSE,FALSE,7.65612E+16,4,1,9268,3614,9268,1601673114
4,NBA2K21,77033634,english,"*************WARNING TO ALL POTENTIAL BUYERS, PLEASE READ BEFORE PURCHASING THIS GAME****************

The cheating and hacking is rampart in PC online play, more so than ever before in any previous NBA2k. Players are hacking in every aspect of this game from the Park, to the REC using controller mods and cheat engines. Just randomly checking players 2K cards will show you all you need to know. 50-55 3 point shooting and they'll green every shot in your face without a single miss and 2K will never do anything about it. The experience of online play is utter garbage. 

If you plan to only play single player, then it's a decent enough experience (Not worth full price and I'd wait for a sale or purchase an older 2K), but multiplayer is just broken and I would avoid it like it's infected with COVID-19.

Avoid this game like the plague if you plan to play online.",1601828380,1601828380,FALSE,7,0,0.571428537,0,TRUE,FALSE,FALSE,7.65612E+16,64,2,12655,5693,12603,1601850835
5,NBA2K21,77033316,english,xD,1601827985,1601827985,FALSE,1,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,188,22,418,254,308,1601834622
6,NBA2K21,77028698,english,good game better hackers,1601822448,1601822448,TRUE,0,1,0,0,TRUE,FALSE,FALSE,7.65612E+16,6,2,717,717,680,1601834470
7,NBA2K21,77019672,english,"GOOD GAME!!!, But so many MOD user's T.T",1601810275,1601810275,TRUE,0,0,0.474137902,0,TRUE,FALSE,FALSE,7.65612E+16,9,1,9463,7110,9220,1601845990
8,NBA2K21,77017431,english,Eestwa nba2k20.5,1601806851,1601806851,TRUE,0,1,0.474137902,0,TRUE,FALSE,FALSE,7.65612E+16,82,11,4237,1508,4149,1601869074
9,NBA2K21,77016723,english,nothing improve,1601805744,1601805744,FALSE,1,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,52,3,1658,306,1658,1601805714
10,NBA2K21,77003476,english,"shooting mechanic is not as bad as others have described in reviews and I found the story line to be more enjoyable than I had expected.  There are some weird elements like laggy gameplay and animation issues when shooting that have been in the game for a while, but mostly I would say this is a good game.",1601782664,1601782664,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,41,1,3564,3564,2514,1601870984
11,NBA2K21,77001903,english,its 2k,1601780021,1601780021,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,134,1,7489,3745,7239,1601808646
12,NBA2K21,75570294,english,"The park is absolutely unplayable with full of hackers. I don't know about other server but the Asia server, bruh it is horrible. Literally every single park match has at least one hacker. It's impossible to enjoy the Park mode. Devs know this, they just  don't  care.

I used to play on PS4 console, to be honest, NBA2K21 is my second favourite 2K out of 15-21, and just because of all the hackers, I have the worst experience on this 2K.

Never buy 2K on PC ever. I can find 30 hackers in one Park",1599437499,1601774648,FALSE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,1,1,20228,7658,19811,1601817826
13,NBA2K21,76997416,english,Sure,1601771760,1601771760,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,140,22,1336,237,1277,1601824262
14,NBA2K21,76997020,english,My park is full of cheaters........................,1601770966,1601770966,FALSE,1,0,0.523809552,0,TRUE,FALSE,FALSE,7.65612E+16,59,1,8563,4000,8216,1601865170
15,NBA2K21,76996351,english,it's a decent 2k but the shooting is completely messed up,1601769781,1601769781,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,8,1,2927,1393,2798,1601864841
16,NBA2K21,76994477,english,"it is a great product and worth its price
",1601766505,1601766505,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,1,1,564,564,193,1601789296
17,NBA2K21,76452233,english,"getting dunked on in park sucks. dont buy game if you want to win online
edit: theres also an offensive amount of hackers online",1600900453,1601763473,FALSE,5,3,0.542013586,0,TRUE,FALSE,FALSE,7.65612E+16,41,1,6072,1453,5840,1601855092
18,NBA2K21,76471046,english,"shooting is more fair now, still trash tho",1600939905,1601757328,FALSE,0,2,0.476190478,0,TRUE,FALSE,FALSE,7.65612E+16,9,7,1925,590,1810,1601760454
19,NBA2K21,76983620,english,very good,1601750930,1601750930,TRUE,0,0,0.476190478,0,TRUE,FALSE,FALSE,7.65612E+16,4,1,1348,86,1348,1601147146
20,NBA2K21,76983195,english,"hey shawty
",1601750368,1601750368,TRUE,1,0,0.491071433,0,TRUE,FALSE,FALSE,7.65612E+16,2,1,1980,1980,1297,1601861838
21,NBA2K21,76981300,english,just not a good game,1601747945,1601747945,FALSE,2,0,0.521739125,0,TRUE,FALSE,FALSE,7.65612E+16,30,1,1172,315,1107,1601842228
22,NBA2K21,76974933,english,make every white xD,1601740012,1601740012,TRUE,1,0,0.457856387,0,TRUE,FALSE,FALSE,7.65612E+16,12,5,660,46,613,1601843006
23,NBA2K21,76958404,english,"very good game
",1601717615,1601717615,TRUE,0,1,0.422670513,0,TRUE,FALSE,FALSE,7.65612E+16,10,3,3154,1750,2757,1601835556
24,NBA2K21,76957415,english,decent game.,1601716071,1601716071,TRUE,0,1,0.481927723,0,TRUE,FALSE,FALSE,7.65612E+16,15,2,1196,247,1176,1601717828
25,NBA2K21,76949723,english,"solid content, gameplay is still broken",1601702780,1601702780,TRUE,0,1,0,0,TRUE,FALSE,FALSE,7.65612E+16,11,1,6996,3706,6184,1601854467
26,NBA2K21,76946202,english,Only game I have bought that constantly after 20 minutes just randomly closes and exits itself.... makes it really hard to do the part of the game I enjoy... Drafting and pretending to be a GM. when you get done with the first round of the draft and it closes and you have to do it all over again....  just a bug that ruins the whole experience...    Game Play is just ok... no real improvments upon old versions... in fact feels more like a step backwards,1601696218,1601696218,FALSE,0,0,0.481927723,0,TRUE,FALSE,FALSE,7.65612E+16,320,3,3739,1888,3739,1601695974
27,NBA2K21,76942640,english,Devs dont put in no effort torwards pc version dont buy! better off getting it on console! nothing but bugs and crashes GPU  MSI GEFORCE RTX 2080 super x trio AND i7 CPU,1601690051,1601690051,FALSE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,7,1,3035,1964,2856,1601703360
28,NBA2K21,76938826,english,"tooooooooooooooooooooooooooooooooooo many hackersssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss, buy it when it's on a discount!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",1601683128,1601683128,FALSE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,35,1,4877,1630,4590,1601849513
29,NBA2K21,76937976,english,Good game dispite lack of pc support. Best sports game available.,1601681604,1601681604,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,7,1,1444,1444,1246,1601868025
30,NBA2K21,76936783,english,Best game ever,1601679443,1601679443,TRUE,0,0,0.43650794,0,TRUE,TRUE,FALSE,7.65612E+16,2,1,600,600,318,1601746319
31,NBA2K21,76129364,english,h,1600362918,1601679217,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,24,16,1055,755,969,1601771651
32,NBA2K21,76936436,english,"What a watered down version of 2K20. Career mode is not as engaging as last year's version. They took out all the cut scenes and replaced them with just ""e-mails"" you get. There's no post-game choices that help you either build chemistry with your team, or earn more fans. It's pretty much just a loooong grind that you can bypass if you're willing to throw down $100 for VC and build your player up that way.  The probably second most played mode, My Team, is a shameless money-grab by 2K. Either succumb to the micro-transactions, or struggle for the season. 

I really hope for 2K22 they really  re-create this game. Stay away if you 2k20.",1601678895,1601678895,FALSE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,23,4,3986,552,3907,1601826986
33,NBA2K21,76936158,english,"fire game
",1601678432,1601678432,TRUE,0,1,0,0,TRUE,FALSE,FALSE,7.65612E+16,27,1,2357,980,2204,1601751226
34,NBA2K21,76931946,english,"Absolute trash, missing wideopen layups with 83 overalls",1601671812,1601671812,FALSE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,34,11,2099,2099,989,1601863804
35,NBA2K21,76927924,english,"Modders and cheaters make these game horrible. If 2k makes a anti-cheat system, this game will be a lot better. This game also have too many bugs and constant crashes. 2k Support is only equip to handle console issues, not PC issues. This is a first time purchase and my final purchase. This was my first purchased game on Steam and after this review, I am uninstalling this application. No one wants to take ownership for this game, to include the issue with your MyCareer player not saving.",1601666386,1601666386,FALSE,1,0,0.523809552,0,TRUE,FALSE,FALSE,7.65612E+16,1,1,7627,1139,7627,1601666086
